file,beam,shot_number,lat_GEDI2A,lon_GEDI2A,rh98_GEDI2A,rh100_GEDI2A,elev_highest_GEDI2A,elev_lowest_GEDI2A,height_lastbin_GEDI2A,sensitivity_GEDI2A,l2a_quality_flag_GEDI2A,cover_GEDI2B,pai_GEDI2B,fhd_normal_GEDI2B,omega_GEDI2B,pgap_theta_GEDI2B,pgap_theta_error_GEDI2B,lat_GEDI2B,lon_GEDI2B,l2b_quality_flag_GEDI2B
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083206,17.97604278026118,-66.8569719362692,1.49,1.61,5361.096,5359.486,,0.88600254,0,,,,,,,17.97604278026118,-66.8569719362692,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM0110,41040600200340882,17.973166335350587,-66.8661477725932,6.77,8.68,126.913445,118.22369,,0.9882549,1,,,,,,,17.973166335350587,-66.8661477725932,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM0110,41040600200340883,17.973573883938787,-66.86581623076665,7.75,9.81,130.61157,120.79808,,0.99116397,1,,,,,,,17.973573883938787,-66.86581623076665,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM0110,41040600200340884,17.973980413823625,-66.86548543050111,5.09,6.74,136.63373,129.89168,,0.9679743,1,,,,,,,17.973980413823625,-66.86548543050111,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM0110,41040600200340885,17.97438712035987,-66.86515453406842,4.75,6.55,144.55902,138.00424,,0.98713416,1,,,,,,,17.97438712035987,-66.86515453406842,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM0110,41040600200340886,17.974794509057176,-66.86482318722274,5.76,7.56,149.53976,141.97366,,0.990937,1,,,,,,,17.974794509057176,-66.86482318722274,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM0110,41040600200340887,17.975201254961487,-66.86449231962374,5.24,7.0,157.11545,150.11119,,0.9724761,1,,,,,,,17.975201254961487,-66.86449231962374,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM0110,41040600200340888,17.975607700645693,-66.86416169169716,5.39,7.07,167.34148,160.2623,,0.97562665,1,,,,,,,17.975607700645693,-66.86416169169716,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM0110,41040600200340889,17.976015010236946,-66.8638304867399,5.54,7.34,172.47824,165.13689,,0.97354186,1,,,,,,,17.976015010236946,-66.8638304867399,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM0110,41040600200340890,17.9764227718227,-66.86349899137755,6.03,7.52,174.83522,167.30658,,0.97158694,1,,,,,,,17.9764227718227,-66.86349899137755,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM0110,41040600200340891,17.97683048658114,-66.86316755240641,5.16,6.74,176.62213,169.88008,,0.977532,1,,,,,,,17.97683048658114,-66.86316755240641,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM0110,41040600200340892,17.977238456568383,-66.86283595478295,5.88,7.64,178.59431,170.95331,,0.9881891,1,,,,,,,17.977238456568383,-66.86283595478295,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM0110,41040600200340893,17.977647984368897,-66.86250328190413,5.39,7.34,169.68399,162.34264,,0.989044,1,,,,,,,17.977647984368897,-66.86250328190413,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM1000,41040800200080786,17.96967902963171,-66.86126713468003,4.6,6.33,120.913,114.58224,,0.97425056,1,,,,,,,17.96967902963171,-66.86126713468003,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM1000,41040800200080787,17.970086824183586,-66.86093484954003,8.76,10.82,122.849174,112.0232,,0.97157633,1,,,,,,,17.970086824183586,-66.86093484954003,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM1000,41040800200080788,17.970493850984234,-66.86060315367261,6.74,9.47,125.78345,116.30603,,0.97495824,1,,,,,,,17.970493850984234,-66.86060315367261,
